Cap1,Cap2,Time,Distance
436,255,1353,2.99217807576354
3008,3310,1353,3.26415721651909
3008,100,1353,3.27987436688506
3008,116,1353,2.88432422964715
3008,449,1353,3.38570412202095
3008,255,1353,3.11503289804869
3310,100,1353,3.74649441822833
3310,116,1353,0.701933165479449
3310,449,1353,3.73301300042419
3310,255,1353,3.72586441079168
100,116,1353,3.92746449439024
100,449,1353,0.756222128081426
100,255,1353,0.229993890797126
116,449,1353,3.98702569485274
116,255,1353,3.88866897853803
449,255,1353,0.676088122188225
436,3008,1354,1.36559494734896
436,3310,1354,1.54259242215823
436,100,1354,2.68986781987591
436,116,1354,1.36945471911268
436,449,1354,2.86739327100417
436,255,1354,2.69435815682028
3008,3310,1354,2.85069680868117
3008,100,1354,3.02525525900361
3008,116,1354,2.52166665085316
3008,449,1354,3.0577439205442
3008,255,1354,2.79882021726102
3310,100,1354,3.55009492030622
3310,116,1354,0.701933165479449
3310,449,1354,3.7745574100681
3310,255,1354,3.73699097317668
100,116,1354,3.7785679245746
100,449,1354,0.726097149893869
100,255,1354,0.495112592952351
116,449,1354,4.02207632352992
116,255,1354,3.89673790017291
449,255,1354,0.660766374223144
436,3008,1355,1.24056856482663
436,3310,1355,1.54259242215823
436,100,1355,2.68986781987591
436,116,1355,1.36945471911268
436,449,1355,2.89478723237754
436,255,1355,2.69435815682028
3008,3310,1355,2.75082807275482
3008,100,1355,2.82819181104818
3008,116,1355,2.466548919883
3008,449,1355,2.88834905193469
3008,255,1355,2.61153261322542
3310,100,1355,3.55009492030622
3310,116,1355,0.701933165479449
3310,449,1355,3.81404107721404
3310,255,1355,3.73699097317668
100,116,1355,3.7785679245746
100,449,1355,0.573059912152298
100,255,1355,0.495112592952351
116,449,1355,4.05013884119989
116,255,1355,3.89673790017291
449,255,1355,0.512001574583516
436,3008,1356,1.24106944291446
436,3310,1356,1.46189769180336
436,100,1356,2.63267637901053
436,116,1356,1.41564756450891
436,449,1356,2.82187019567892
436,255,1356,2.55079568998068
3008,3310,1356,2.63685189307932
3008,100,1356,2.67511548353637
3008,116,1356,2.40465856727229
3008,449,1356,2.75324243033864
3008,255,1356,2.42401491734684
3310,100,1356,3.69755204767965
3310,116,1356,0.701466018563979
3310,449,1356,3.92569659183195
3310,255,1356,3.73172473591555
100,116,1356,3.91952028116962
100,449,1356,0.464106766165933
100,255,1356,0.391042386838051
116,449,1356,4.15442854271451
116,255,1356,3.89673790017291
449,255,1356,0.469676927260644
436,3008,1357,1.05219371705024
436,3310,1357,1.4524920347458
436,100,1357,2.59437209614754
436,116,1357,1.41568273101709
436,449,1357,2.8227537344517
436,255,1357,2.55794743412057
3008,3310,1357,2.48111924775896
3008,100,1357,2.2362176987514
3008,116,1357,2.3176115311458
3008,449,1357,2.54678823162449
3008,255,1357,2.23184896444271
3310,100,1357,3.78047897333248
3310,116,1357,0.698719236675219
3310,449,1357,3.91777040240249
3310,255,1357,3.7265335174776
100,116,1357,3.94913533833028
100,449,1357,0.465117565701404
100,255,1357,0.0805919813691165
116,449,1357,4.15572636284212
116,255,1357,3.90394025896196
449,255,1357,0.455298923566704
436,3008,1358,0.755527317970701
436,3310,1358,1.45010240083244
436,100,1358,2.59041936498108
436,116,1358,1.41568273101709
436,449,1358,2.76657006095707
436,255,1358,2.55794743412057
3008,3310,1358,2.20482832540314
3008,100,1358,2.11772414593804
3008,116,1358,2.11433463262086
3008,449,1358,2.34331383969455
3008,255,1358,2.10486164257986
3310,100,1358,3.77932368834809
3310,116,1358,0.688058135479845
3310,449,1358,3.88323118679844
3310,255,1358,3.72908176078026
100,116,1358,3.94649408488712
100,449,1358,0.387990915776388
100,255,1358,0.0850396816844938
116,449,1358,4.10716000260082
116,255,1358,3.90394025896196
449,255,1358,0.391820796431225
436,3008,1359,0.571992537888389
436,3310,1359,1.56426460996853
436,100,1359,2.49189850148617
436,116,1359,1.53222831934409
436,449,1359,2.6248513203654
436,255,1359,2.46162042845439
3008,3310,1359,2.13404284628964
3008,100,1359,2.16136800769073
3008,116,1359,2.04457036195872
3008,449,1359,2.32655719942236
3008,255,1359,2.14619765944891
3310,100,1359,3.78366027207901
3310,116,1359,0.670843223562704
3310,449,1359,3.86167108879355
3310,255,1359,3.7336192516356
100,116,1359,3.94649408488712
100,449,1359,0.326602551773558
100,255,1359,0.0850396816844938
116,449,1359,4.06894657134546
116,255,1359,3.90394025896196
449,255,1359,0.339391831097921
436,3008,1360,0.389441253464499
436,3310,1360,1.56426460996853
436,100,1360,2.49189850148617
436,116,1360,1.53222831934409
436,449,1360,2.62284650418662
436,255,1360,2.46491329812714
3008,3310,1360,1.89206551036163
3008,100,1360,2.10640259169728
3008,116,1360,1.90973147214471
3008,449,1360,2.24201641809867
3008,255,1360,2.0817181497465
3310,100,1360,3.78366027207901
3310,116,1360,0.670843223562704
3310,449,1360,3.86053786238705
3310,255,1360,3.73045877699835
100,116,1360,3.94649408488712
100,449,1360,0.324145846687876
100,255,1360,0.103127512143947
116,449,1360,4.06734518030668
116,255,1360,3.90890049789503
449,255,1360,0.274596403865746
436,3008,1361,0.489610556871479
436,3310,1361,1.43338782194492
436,100,1361,2.55498883339028
436,116,1361,1.39241238291679
436,449,1361,2.62675977610515
436,255,1361,2.56665895177836
3008,3310,1361,1.86013707825526
3008,100,1361,2.08915302327259
3008,116,1361,1.87890655395632
3008,449,1361,2.15479850430707
3008,255,1361,2.10667888030995
3310,100,1361,3.76162192895684
3310,116,1361,0.670843223562704
3310,449,1361,3.79819558222375
3310,255,1361,3.73045877699835
100,116,1361,3.91219140308204
100,449,1361,0.286525619666026
100,255,1361,0.166510166239182
116,449,1361,3.98051233899155
116,255,1361,3.90890049789503
449,255,1361,0.241808242861983
436,3008,1362,0.981258576472073
436,3310,1362,1.05448946651923
436,100,1362,3.10863947133292
436,116,1362,0.907613777110066
436,449,1362,3.15555048714864
436,255,1362,3.08856153151657
3008,3310,1362,1.78549869182254
3008,100,1362,2.22947008032155
3008,116,1362,1.83993672921109
3008,449,1362,2.22559458382788
3008,255,1362,2.18998720903662
3310,100,1362,3.79671797152607
3310,116,1362,0.620130069743437
3310,449,1362,3.79819558222375
3310,255,1362,3.73045877699835
100,116,1362,3.97030974982167
100,449,1362,0.430292729458679
100,255,1362,0.251129666031315
116,449,1362,4.0021367603499
116,255,1362,3.93457822842093
449,255,1362,0.241808242861983
436,3008,1363,1.10115593473404
436,3310,1363,0.972793361254074
436,100,1363,3.21846027793866
436,116,1363,0.77817568485529
436,449,1363,3.25261317507155
436,255,1363,3.2198395948904
3008,3310,1363,1.77007150344273
3008,100,1363,2.21978530219231
3008,116,1363,1.82508963645625
3008,449,1363,2.20424948914795
3008,255,1363,2.2019895734685
3310,100,1363,3.78493955489503
3310,116,1363,0.620130069743437
3310,449,1363,3.75871731937758
3310,255,1363,3.73045877699835
100,116,1363,3.95196415363664
100,449,1363,0.445343237739162
100,255,1363,0.280301249838455
116,449,1363,3.96483885067338
116,255,1363,3.93457822842093
449,255,1363,0.225473141906081
436,3008,1364,1.02512791684745
436,3310,1364,1.00269173877119
436,100,1364,3.17510521893196
436,116,1364,0.85943553335896
436,449,1364,3.21695055529689
436,255,1364,3.22458932197637
3008,3310,1364,1.6231450757403
3008,100,1364,2.29603749760517
3008,116,1364,1.73366576372148
3008,449,1364,2.33071596193637
3008,255,1364,2.31840584376075
3310,100,1364,3.75927338113484
3310,116,1364,0.617285872347651
3310,449,1364,3.7658161816431
3310,255,1364,3.73045877699835
100,116,1364,3.96834667947358
100,449,1364,0.150989464612601
100,255,1364,0.325895153018574
116,449,1364,3.99716147910301
116,255,1364,3.98490911386998
449,255,1364,0.18800481634522
436,3008,1365,1.11563818337309
436,3310,1365,0.993543922884137
436,100,1365,3.13370199027109
436,116,1365,0.970289401673542
436,449,1365,3.13789574077103
436,255,1365,3.25873283467424
3008,3310,1365,1.62424782841166
3008,100,1365,2.30336922181595
3008,116,1365,1.72910173194061
3008,449,1365,2.31065223284011
3008,255,1365,2.39886523407715
3310,100,1365,3.75927338113484
3310,116,1365,0.61613460777658
3310,449,1365,3.73318326850277
3310,255,1365,3.81911604036379
100,116,1365,3.9713540541469
100,449,1365,0.160172706164315
100,255,1365,0.302193637962483
116,449,1365,3.96899275372342
116,255,1365,4.06822475297813
449,255,1365,0.190090476418468
436,3008,1366,1.37000860055695
436,3310,1366,0.9805422795066
436,100,1366,3.13512550661198
436,116,1366,1.39644500876332
436,449,1366,3.03957769265732
436,255,1366,3.1510661879218
3008,3310,1366,1.60221222224149
3008,100,1366,2.40954438334906
3008,116,1366,1.72748330646059
3008,449,1366,2.33169123661346
3008,255,1366,2.42228989573585
3310,100,1366,3.79528797068272
3310,116,1366,0.676908993440034
3310,449,1366,3.72867836400513
3310,255,1366,3.81911604036379
100,116,1366,4.0817892460769
100,449,1366,0.260215290305931
100,255,1366,0.0895295969219113
116,449,1366,3.99023977605356
116,255,1366,4.09469712797467
449,255,1366,0.192386651730311
436,3008,1367,1.40573331058917
436,3310,1367,0.980354221034418
436,100,1367,3.14623892620205
436,116,1367,1.39825803173091
436,449,1367,3.01891643171851
436,255,1367,3.1524428124399
3008,3310,1367,1.60935710288301
3008,100,1367,2.46461487444367
3008,116,1367,1.7042341196561
3008,449,1367,2.35049964020418
3008,255,1367,2.45878690753876
3310,100,1367,3.801890400644
3310,116,1367,0.676908993440034
3310,449,1367,3.70619851014486
3310,255,1367,3.81727354976874
100,116,1367,4.09339804608457
100,449,1367,0.301339366311473
100,255,1367,0.128762319896
116,449,1367,3.96901690094663
116,255,1367,4.09194690559934
449,255,1367,0.201984436638074
436,3008,1368,1.4162700026831
436,3310,1368,0.990823753601012
436,100,1368,3.17085195878411
436,116,1368,1.42007973286714
436,449,1368,3.04229907177122
436,255,1368,3.13257038278408
3008,3310,1368,1.60935710288301
3008,100,1368,2.48968983173105
3008,116,1368,1.7043978144201
3008,449,1368,2.41062241825633
3008,255,1368,2.44283831987219
3310,100,1368,3.83137948487552
3310,116,1368,0.676552696986717
3310,449,1368,3.736606110443
3310,255,1368,3.80233331683008
100,116,1368,4.12196803491063
100,449,1368,0.21439544124118
100,255,1368,0.134223035880582
116,449,1368,4.02233105947285
116,255,1368,4.0770845950159
449,255,1368,0.143815010746445
436,3008,1369,1.43318294941714
436,3310,1369,0.924876295782306
436,100,1369,3.30728967473746
436,116,1369,1.39081377826077
436,449,1369,3.08185464740568
436,255,1369,3.26175859362645
3008,3310,1369,1.48398230036615
3008,100,1369,2.58016008856524
3008,116,1369,1.59253235254421
3008,449,1369,2.38863102254743
3008,255,1369,2.52010289185898
3310,100,1369,3.82013964578849
3310,116,1369,0.676034968104461
3310,449,1369,3.61009862596522
3310,255,1369,3.7839634460227
100,116,1369,4.12349289933001
100,449,1369,0.230929170138811
100,255,1369,0.178279751685378
116,449,1369,3.91787401336694
116,255,1369,4.0664335578755
449,255,1369,0.22749710034196
436,3008,1370,1.39823610098581
436,3310,1370,0.912567052933647
436,100,1370,3.3341091454576
436,116,1370,1.52421582273935
436,449,1370,3.07715071690111
436,255,1370,3.22182490130423
3008,3310,1370,1.37029326255368
3008,100,1370,2.65337443694704
3008,116,1370,1.58616556218101
3008,449,1370,2.42191222921579
3008,255,1370,2.53703861552086
3310,100,1370,3.80885519892841
3310,116,1370,0.779118968212814
3310,449,1370,3.56129516513655
3310,255,1370,3.70592603888475
100,116,1370,4.21625388771988
100,449,1370,0.257925967186323
100,255,1370,0.196429261506528
116,449,1370,3.97537468298449
116,255,1370,4.0961689636846
449,255,1370,0.197832440689084
436,3008,1371,1.3798573252333
436,3310,1371,0.814525486648515
436,100,1371,3.35761837564203
436,116,1371,1.54208685072664
436,449,1371,3.07687353788306
436,255,1371,3.22415705165924
3008,3310,1371,1.35896783803003
3008,100,1371,2.67069440532776
3008,116,1371,1.59259394113628
3008,449,1371,2.42364634365763
3008,255,1371,2.58060278945908
3310,100,1371,3.81119979826944
3310,116,1371,0.821866376623353
3310,449,1371,3.54211815493569
3310,255,1371,3.71071380325727
100,116,1371,4.24652646830713
100,449,1371,0.284036052683458
100,255,1371,0.350929873480444
116,449,1371,3.98898579748148
116,255,1371,4.13636032305552
449,255,1371,0.308144382536823
436,3008,1372,1.14344452637633
436,3310,1372,0.629019417983261
436,100,1372,3.21150732796922
436,116,1372,1.66518422851167
436,449,1372,2.8829400904502
436,255,1372,3.0351676587141
3008,3310,1372,1.31363941273852
3008,100,1372,3.34170030692461
3008,116,1372,0.926167453230786
3008,449,1372,3.03329088475289
3008,255,1372,3.19282470021202
3310,100,1372,3.66087918169939
3310,116,1372,1.58026696768742
3310,449,1372,3.34215021295049
3310,255,1372,3.52725413464695
100,116,1372,4.26692066542653
100,449,1372,0.332719417114481
100,255,1372,0.378684404463664
116,449,1372,3.95751691862322
116,255,1372,4.11039952276515
449,255,1372,0.308378134421039
436,3008,1373,1.3967133324702
436,3310,1373,1.08347572363205
436,100,1373,2.67274962209332
436,116,1373,1.99188235163024
436,449,1373,2.33880415747557
436,255,1373,2.35029380484653
3008,3310,1373,1.42113350358086
3008,100,1373,3.44914445407843
3008,116,1373,0.633432647529317
3008,449,1373,3.13128372557087
3008,255,1373,3.19281751348241
3310,100,1373,3.65533924550102
3310,116,1373,1.87303165800154
3310,449,1373,3.33540679179092
3310,255,1373,3.38733566559324
100,116,1373,3.98601767109179
100,449,1373,0.342770064948793
100,255,1373,0.522771162460211
116,449,1373,3.6739224802275
116,255,1373,3.72600697754526
449,255,1373,0.330928453332439
436,3008,1374,1.90571682948963
436,3310,1374,1.20591320807096
436,100,1374,2.13083028899535
436,116,1374,2.15228557493099
436,449,1374,1.79516216145645
436,255,1374,1.82260702931268
3008,3310,1374,1.56028668154285
3008,100,1374,3.5606153913474
3008,116,1374,0.435300549110612
3008,449,1374,3.22880752161305
3008,255,1374,3.31523052273895
3310,100,1374,3.31348712375648
3310,116,1374,1.97151837617
3310,449,1374,2.98449751498054
3310,255,1374,3.02848325171199
100,116,1374,3.5921885285096
100,449,1374,0.354843073801645
100,255,1374,0.55954093701891
116,449,1374,3.27156008116632
116,255,1374,3.36397308938642
449,255,1374,0.37571796726401
436,3008,1375,2.17069842884727
436,3310,1375,1.03654485194805
436,100,1375,1.80148092540249
436,116,1375,2.06270484598645
436,449,1375,1.57378402785293
436,255,1375,1.60839701756127
3008,3310,1375,1.77896870711657
3008,100,1375,3.51691015041741
3008,116,1375,0.853054010046257
3008,449,1375,3.30603016125458
3008,255,1375,3.36625450685179
3310,100,1375,2.8025941081664
3310,116,1375,2.0837602369457
