"","Infectious_time","Population_size","Density","avg_cases"
"391","10","30","1.5",30
"392","10","30","2",30
"393","10","50","0.01",14.98
"394","10","50","0.1",48.09
"395","10","50","0.2",49.73
"396","10","50","0.5",49.98
"397","10","50","0.75",50
"398","10","50","1",50
"399","10","50","1.5",50
"400","10","50","2",50
"401","10","75","0.01",16.39
"402","10","75","0.1",68.37
"403","10","75","0.2",73.85
"404","10","75","0.5",74.94
"405","10","75","0.75",74.99
"406","10","75","1",74.99
"407","10","75","1.5",75
"408","10","75","2",75
"409","10","100","0.01",15.78
"410","10","100","0.1",84.05
"411","10","100","0.2",96.2
"412","10","100","0.5",99.77
"413","10","100","0.75",99.94
"414","10","100","1",99.98
"415","10","100","1.5",100
"416","10","100","2",99.99
"417","10","200","0.01",16.1
"418","10","200","0.1",122.08
"419","10","200","0.2",168.67
"420","10","200","0.5",196.38
"421","10","200","0.75",198.63
"422","10","200","1",199.54
"423","10","200","1.5",199.93
"424","10","200","2",199.97
"425","10","300","0.01",16.58
"426","10","300","0.1",136.6
"427","10","300","0.2",213.82
"428","10","300","0.5",283.81
"429","10","300","0.75",294.18
"430","10","300","1",297.79
"431","10","300","1.5",299.28
"432","10","300","2",299.75
"433","10","500","0.01",15.76
"434","10","500","0.1",150.94
"435","10","500","0.2",260.42
"436","10","500","0.5",421.33
"437","10","500","0.75",465.26
"438","10","500","1",482.49
"439","10","500","1.5",494.63
"440","10","500","2",497.95
"441","10","1000","0.01",16.68
"442","10","1000","0.1",158.8
"443","10","1000","0.2",299.88
"444","10","1000","0.5",608.55
"445","10","1000","0.75",752.54
"446","10","1000","1",840.98
"447","10","1000","1.5",930.69
"448","10","1000","2",965.45
