"","Cap1","Cap2","Time","Distance"
"16365",218,255,789,3.31073842929174
"16370",376,218,790,5.89114073634989
"16375",742,218,790,3.1786885631224
"16379",436,218,790,3.33877306280633
"16382",100,218,790,3.00008806013683
"16384",116,218,790,1.36730292119353
"16386",218,255,790,3.31647392079135
"16391",376,218,791,5.71862362972562
"16396",742,218,791,2.78254005496797
"16400",436,218,791,3.33877306280633
"16403",100,218,791,3.00008806013683
"16405",116,218,791,1.24578647185124
"16407",218,255,791,3.29731212821734
"16412",376,218,792,5.72674773519458
"16417",742,218,792,2.79569704481962
"16421",436,218,792,3.44637154570675
"16424",100,218,792,3.00008806013683
"16426",116,218,792,1.35198731913652
"16428",218,255,792,3.29731212821734
"16433",376,218,793,5.74588703130913
"16438",742,218,793,2.69468669613615
"16442",436,218,793,3.44941198388322
"16445",100,218,793,3.00008806013683
"16447",116,218,793,1.34441560507827
"16449",218,255,793,3.29731212821734
"16454",376,218,794,5.75112917259232
"16459",742,218,794,2.60777222593101
"16463",436,218,794,3.43248812686325
"16466",100,218,794,3.01527896377359
"16468",116,218,794,1.62933513334156
"16470",218,255,794,3.29557928147529
"16475",376,218,795,5.8094369867723
"16480",742,218,795,2.4740676814924
"16484",436,218,795,2.84110305658791
"16487",100,218,795,3.01527896377359
"16489",116,218,795,1.66379976590369
"16491",218,255,795,3.26251717665075
"16496",376,218,796,5.8094369867723
"16501",742,218,796,2.47134904269008
"16505",436,218,796,2.51613549937541
"16508",100,218,796,3.01186282879091
"16510",116,218,796,1.60107828628745
"16512",218,255,796,3.2773799414229
"16517",376,218,797,5.79272682801286
"16522",742,218,797,2.4377685966279
"16526",436,218,797,2.36568397561829
"16529",100,218,797,3.01291127665482
"16531",116,218,797,1.7788383420202
"16533",218,255,797,3.20975869283365
"16538",376,218,798,5.79272682801286
"16543",742,218,798,2.41609925216353
"16547",436,218,798,2.16233661145465
"16550",100,218,798,3.00206906613931
"16552",116,218,798,1.81471558284188
"16554",218,255,798,3.1336463760286
"16559",376,218,799,5.73041018381879
"16564",742,218,799,2.42188030042412
"16568",436,218,799,1.98760364081182
"16571",100,218,799,3.00296343608157
"16573",116,218,799,1.81690863304581
"16575",218,255,799,3.15081258918623
"16580",376,218,800,5.60144524874212
"16585",742,218,800,2.4609756377242
"16589",436,218,800,2.07156281391273
"16592",100,218,800,2.78123647261703
"16594",116,218,800,2.02519571830182
"16596",218,255,800,2.97101862034354
"16601",376,218,801,5.45365922851515
"16606",742,218,801,2.1947363241237
"16610",436,218,801,1.89361528267756
"16613",100,218,801,2.58850035877239
"16615",116,218,801,1.93016390978746
"16617",218,255,801,2.76544930034886
"16622",376,218,802,5.32527062220025
"16627",742,218,802,1.73260200477461
"16631",436,218,802,1.48372213414406
"16634",100,218,802,2.54134767491109
"16636",116,218,802,1.61464332324789
"16638",218,255,802,2.57912800602238
"16643",376,218,803,5.12095021234341
"16648",742,218,803,1.30452303026815
"16652",436,218,803,0.880262173843679
"16655",100,218,803,2.5503939859012
"16657",116,218,803,1.18082116092997
"16659",218,255,803,2.40041955226581
"16664",376,218,804,5.00600759796916
"16669",742,218,804,1.01939494917328
"16673",436,218,804,0.775670259453075
"16676",100,218,804,2.37360424616257
"16678",116,218,804,1.04033206592895
"16680",218,255,804,2.36049002533372
"16685",376,218,805,4.9999626734759
"16690",742,218,805,0.674921066051431
"16694",436,218,805,0.366904865734975
"16697",100,218,805,2.27182440028735
"16699",116,218,805,0.784679082045647
"16701",218,255,805,2.38331167808577
"16706",376,218,806,4.97162602304937
"16711",742,218,806,0.630599710593019
"16715",436,218,806,0.239816840943249
"16718",100,218,806,2.12651561451615
"16720",116,218,806,0.621562320769205
"16722",218,255,806,2.17738638436085
"16727",376,218,807,5.00365395818373
"16732",742,218,807,0.724479296322537
"16736",436,218,807,0.23353903399646
"16739",100,218,807,2.03532984826563
"16741",116,218,807,0.417507364006912
"16743",218,255,807,1.88264441913496
"16748",376,218,808,4.98142303438736
"16753",742,218,808,0.834213948396933
"16757",436,218,808,0.303721888904965
"16760",100,218,808,2.00292374424015
"16762",116,218,808,0.415614886403267
"16764",218,255,808,1.59738658069986
"16769",376,218,809,5.11705905647609
"16774",742,218,809,0.77569563683187
"16778",436,218,809,0.569080077757076
"16781",100,218,809,2.06704312582999
"16783",116,218,809,0.354631579812064
"16785",218,255,809,1.75455943866259
"16790",376,218,810,5.32598884675137
"16795",742,218,810,0.828792387064456
"16799",436,218,810,0.561436421793243
"16802",100,218,810,1.85321632939196
"16804",116,218,810,0.815588412924068
"16806",218,255,810,2.04332374982429
"16811",376,218,811,5.3869371487115
"16816",742,218,811,0.803073086004008
"16820",436,218,811,0.585475913253483
"16823",100,218,811,1.79586539024755
"16825",116,218,811,0.659011589218278
"16827",218,255,811,2.14154614214684
"16832",376,218,812,5.47364082953275
"16837",742,218,812,0.853719995897953
"16841",436,218,812,0.63571720959952
"16844",100,218,812,1.77990401132449
"16846",116,218,812,0.776253780141521
"16848",218,255,812,2.28177790719518
"16853",376,218,813,6.07582875879955
"16858",742,218,813,0.879337038512816
"16862",436,218,813,1.2434733715327
"16865",100,218,813,2.22685468301128
"16867",116,218,813,1.21755162153466
"16869",218,255,813,2.92687982960109
"16874",376,218,814,6.06999678588825
"16879",742,218,814,0.867843520054445
"16883",436,218,814,1.19105632432563
"16886",100,218,814,2.21137974397191
"16888",116,218,814,1.19501405075492
"16890",218,255,814,2.9316913756611
"16895",376,218,815,6.07018441840886
"16900",742,218,815,0.855998202334847
"16904",436,218,815,1.18780748676546
"16907",100,218,815,2.20413270435609
"16909",116,218,815,1.18821032704723
"16911",218,255,815,2.98733945723041
"16916",376,218,816,6.07018441840886
"16921",742,218,816,0.855998202334847
"16925",436,218,816,1.08377797074313
"16928",100,218,816,2.20649302504651
"16930",116,218,816,1.20805216070404
"16932",218,255,816,3.01553578254639
"16937",376,218,817,6.07117127653254
"16942",742,218,817,0.818717177968369
"16946",436,218,817,1.08965999333191
"16949",100,218,817,2.18595199233169
"16951",116,218,817,1.07614053522098
"16953",218,255,817,3.01974777354296
"16958",376,218,818,6.24623134153227
"16963",742,218,818,0.821804232603483
"16967",436,218,818,1.39746176266866
"16970",100,218,818,2.34142874938017
"16972",116,218,818,0.929251421196653
"16974",218,255,818,3.13459139159732
"16979",376,218,819,6.24397604041471
"16984",742,218,819,0.880623511051119
"16988",436,218,819,1.40577252423712
"16991",100,218,819,2.33518443731304
"16993",116,218,819,0.902551458803873
"16995",218,255,819,3.1239701245769
"17000",376,218,820,6.24792592549984
"17005",742,218,820,0.796756732432177
"17009",436,218,820,1.22511669689707
"17012",100,218,820,2.32949988956192
"17014",116,218,820,0.885417619481903
"17016",218,255,820,3.12298051088203
"17021",376,218,821,6.2518597827085
"17026",742,218,821,0.801463041016864
"17030",436,218,821,1.26465937327962
"17033",100,218,821,2.30938331725939
"17035",116,218,821,0.911451969992934
"17037",218,255,821,3.07351990933913
"17042",376,218,822,6.27418152598887
"17047",742,218,822,0.82628952111715
"17051",436,218,822,1.2591540736288
"17054",100,218,822,2.31414022522059
"17056",116,218,822,0.840826240967776
"17058",218,255,822,3.1081694693784
"17063",376,218,823,6.42546277153856
"17068",742,218,823,0.837657153640562
"17072",436,218,823,1.48807094914322
"17075",100,218,823,2.40461085745365
"17077",116,218,823,1.25023156755059
"17079",218,255,823,3.27922461058159
"17084",376,218,824,6.44945851109905
"17089",742,218,824,0.836647878752465
"17093",436,218,824,1.41860047394043
"17096",100,218,824,2.40456106611664
"17098",116,218,824,1.36024762441586
"17100",218,255,824,3.09154656777542
"17105",376,218,825,6.44647922944735
"17110",742,218,825,0.841457243632141
"17114",436,218,825,1.52495176306793
"17117",100,218,825,2.3925291890976
"17119",116,218,825,1.34953336099149
"17121",218,255,825,2.67716202404412
"17126",376,218,826,6.45117737828035
"17131",742,218,826,0.891623937072688
"17135",436,218,826,1.51648505527882
"17138",100,218,826,2.3925291890976
"17140",116,218,826,1.47163864461956
"17142",218,255,826,2.55901036593915
"17147",376,218,827,6.43302327264313
"17152",742,218,827,0.888840040086517
"17156",436,218,827,1.5199186619303
"17159",100,218,827,2.37212457669997
"17161",116,218,827,1.53582051017721
"17163",218,255,827,2.30382891779837
"17168",376,218,828,6.43494467973954
"17173",742,218,828,0.885362311833975
"17177",436,218,828,1.78823397411636
"17180",100,218,828,2.39309776300008
"17182",116,218,828,1.53588679738482
"17184",218,255,828,2.14727773994982
"17189",376,218,829,6.42515209005578
"17194",742,218,829,0.748295507529613
"17198",436,218,829,1.78708684383944
"17201",100,218,829,2.37194416251732
"17203",116,218,829,1.54291052737383
"17205",218,255,829,2.07549871528363
"17210",376,218,830,6.40271796633806
"17215",742,218,830,0.661469443125682
"17219",436,218,830,1.83865630226016
"17222",100,218,830,2.3827631148614
"17224",116,218,830,1.55031669809139
"17226",218,255,830,1.96396012580806
"17231",376,218,831,6.1510929492148
"17236",742,218,831,0.629171207422114
"17240",436,218,831,1.90441823543071
"17243",100,218,831,2.3827631148614
"17245",116,218,831,1.58633937985571
"17247",218,255,831,1.85019707031008
"17252",376,218,832,6.11143320618331
"17257",742,218,832,0.622551992900192
"17261",436,218,832,1.92687085914988
"17264",100,218,832,2.37730882544612
"17266",116,218,832,1.56910637191396
"17268",218,255,832,1.84287199839924
"17273",376,218,833,6.0638537931962
"17278",742,218,833,0.398525191003028
"17282",436,218,833,2.28965619471658
"17285",100,218,833,2.41207784701158
"17287",116,218,833,1.51723716276692
"17289",218,255,833,1.83128402247822
"17294",376,218,834,5.85485550268903
"17299",742,218,834,0.36857118642672
"17303",436,218,834,2.39029134858577
"17306",100,218,834,2.50639313588052
"17308",116,218,834,1.35024619625608
"17310",218,255,834,1.96906492025631
"17315",376,218,835,5.66747532174583
"17320",742,218,835,0.438562796371283
"17324",436,218,835,2.59238588494248
"17327",100,218,835,2.59906654345363
"17329",116,218,835,1.10691753698322
"17331",218,255,835,2.09159600748543
"17336",376,218,836,5.81948621440398
"17341",742,218,836,0.413383903437228
"17345",436,218,836,3.04639250098358
"17348",100,218,836,3.15891329906805
"17350",116,218,836,0.979552477830566
"17352",218,255,836,2.127386284399
"17357",376,218,837,5.83169709545669
"17362",742,218,837,0.342869686761603
"17366",436,218,837,3.13194023415662
"17369",100,218,837,3.22762134570166
"17371",116,218,837,0.794730118281672
"17373",218,255,837,2.07340413050833
"17378",376,218,838,5.64709569172623
"17383",742,218,838,0.31976166396865
"17387",436,218,838,3.09350589666951
"17390",100,218,838,3.25955398958032
"17392",116,218,838,0.829070410763767
"17394",218,255,838,1.44951918689923
"17399",376,218,839,5.66526818629798
"17404",742,218,839,0.314932790418845
"17408",436,218,839,3.11239093036784
"17411",100,218,839,3.1393455696683
"17413",116,218,839,0.819788406925227
"17415",218,255,839,1.36279443013097
"17420",376,218,840,5.61695074914851
"17425",742,218,840,0.314932790418845
"17429",436,218,840,2.90657678587991
"17432",100,218,840,3.15119148048417
"17434",116,218,840,0.819788406925227
"17436",218,255,840,1.24388639309424
"17441",376,218,841,5.50987623617128
"17446",742,218,841,0.320593929800612
"17450",436,218,841,2.83416483421483
"17453",100,218,841,3.11366373678983
"17455",116,218,841,0.547488630168701
"17457",218,255,841,1.08789371536194
"17462",376,218,842,5.41721199891032
"17467",742,218,842,0.482069691053991
"17471",436,218,842,2.81149616501437
"17474",100,218,842,3.036665845591
"17476",116,218,842,0.639840111232244
"17478",218,255,842,0.957756889427213
"17483",376,218,843,5.41219852509476
"17488",742,218,843,0.478138286621026
"17492",436,218,843,2.91509898883151
"17495",100,218,843,2.98220303935243
"17497",116,218,843,0.639768612266724
"17499",218,255,843,0.900990174499861
"17504",376,218,844,5.31823247300046
"17509",742,218,844,0.547369888035148
"17513",436,218,844,2.7967318962753
"17516",100,218,844,2.86156397634469
"17518",116,218,844,0.588583283839433
"17520",218,255,844,0.807251608459971
"17525",376,218,845,5.21574640997135
"17530",742,218,845,0.800254912949617
"17534",436,218,845,2.56800819668941
"17537",100,218,845,2.8259482336952
"17539",116,218,845,0.623494507132982
"17541",218,255,845,0.717522927118708
"17546",376,218,846,5.11856204899169
"17551",742,218,846,0.929160981921325
"17555",436,218,846,2.38075863192807
"17558",100,218,846,2.6330178684257
"17560",116,218,846,0.650301698420818
"17562",218,255,846,0.843243465939108
"17567",376,218,847,4.99190556807969
"17572",742,218,847,1.13200251323749
"17576",436,218,847,2.19766847629232
"17579",100,218,847,2.66904408500572
"17581",116,218,847,0.787113736701374
"17583",218,255,847,1.07143318615044
"17588",376,218,848,4.49301602708359
"17593",742,218,848,1.52619059033955
"17597",436,218,848,2.23515591509317
"17600",100,218,848,2.25094599362779
"17602",116,218,848,0.916194375364202
"17604",218,255,848,1.45342651904465
"17609",376,218,849,3.96855695180276
"17614",742,218,849,1.70624751272343
"17618",436,218,849,1.84640898435505
"17621",100,218,849,1.70111331028389
"17623",116,218,849,1.33616006118316
"17625",218,255,849,2.06687837568403
"17630",376,218,850,3.6925416848427
"17635",742,218,850,1.87007920554184
"17639",436,218,850,2.22874246123809
"17642",100,218,850,1.5227093058808
"17644",116,218,850,1.70001811119764
"17646",218,255,850,2.21330984412537
"17651",376,218,851,3.31910654252165
"17656",742,218,851,2.05379854530672
"17660",436,218,851,2.0639176312909
"17663",100,218,851,1.29670749740294
"17665",116,218,851,1.96805526020079
"17667",218,255,851,2.42811655681523
"17672",376,218,852,3.28598554858447
"17677",742,218,852,2.03372139654108
"17681",436,218,852,2.12562413463081
"17684",100,218,852,1.2633649741864
"17686",116,218,852,2.10293360451537
"17688",218,255,852,2.45662119898698
"17693",376,218,853,3.33564309615312
"17698",742,218,853,2.06126440860555
"17702",436,218,853,2.08133876697884
"17705",100,218,853,1.22905729852965
"17707",116,218,853,2.20167230406798
"17709",218,255,853,2.67568703389266
"17714",376,218,854,3.22594496702563
"17719",742,218,854,2.14330855640899
"17723",436,218,854,2.06708113936657
"17726",100,218,854,1.22465800647528
"17728",116,218,854,2.31384763224029
"17730",218,255,854,2.76978126877963
"17735",376,218,855,3.37576525819984
"17740",742,218,855,2.15482036367048
"17744",436,218,855,1.99105027539136
"17747",100,218,855,1.2111622219129
"17749",116,218,855,2.14739304779656
"17751",218,255,855,2.70532440945468
"17756",376,218,856,3.49026776942887
"17761",742,218,856,2.00334268524509
"17765",436,218,856,2.29312941144215
"17768",100,218,856,1.35149130092798
"17770",116,218,856,2.04347082839467
"17772",218,255,856,2.63073494026745
"17777",376,218,857,3.44590908402674
"17782",742,218,857,2.00677111133009
"17786",436,218,857,2.33345916640532
"17789",100,218,857,1.35503280762829
"17791",116,218,857,2.10922929445426
"17793",218,255,857,2.68706189288394
"17798",376,218,858,3.45951762513475
"17803",742,218,858,2.02961037483281
"17807",436,218,858,2.33345916640532
"17810",100,218,858,1.36305528492024
"17812",116,218,858,2.19326986571284
"17814",218,255,858,2.63735725092165
"17819",376,218,859,3.44959764632355
"17824",742,218,859,2.53320669088825
"17828",436,218,859,2.1561639262192
"17831",100,218,859,1.23157410443262
"17833",116,218,859,2.1805863451228
"17835",218,255,859,2.42674111303534
"17840",376,218,860,3.40414406548107
"17845",742,218,860,2.64373964076665
"17849",436,218,860,2.17577606618075
"17852",100,218,860,0.931428784561117
"17854",116,218,860,1.9383547734726
"17856",218,255,860,1.99893116721437
"17861",376,218,861,3.57513420193018
"17866",742,218,861,2.55094363538691
"17870",436,218,861,2.19589873227456
"17873",100,218,861,0.947035648858584
"17875",116,218,861,1.34490753294171
"17877",218,255,861,1.65703079002896
"17882",376,218,862,3.32026661980841
"17887",742,218,862,2.23847271097952
"17891",436,218,862,2.32219636082567
"17894",100,218,862,1.01911578173631
"17896",116,218,862,1.45065298834664
"17898",218,255,862,1.79830384455047
"17903",376,218,863,3.32026661980841
"17908",742,218,863,2.2091960491998
"17912",436,218,863,2.37356595644128
"17915",100,218,863,0.93343363691052
"17917",116,218,863,1.30194029065293
"17919",218,255,863,1.76147897339849
"17924",376,218,864,3.38493185187146
"17929",742,218,864,1.84569498764016
"17933",436,218,864,2.3669138492554
"17936",100,218,864,0.876959572019144
"17938",116,218,864,1.26607149798343
"17940",218,255,864,1.52265085631112
"17945",376,218,865,3.32910012006488
"17950",742,218,865,1.73717546212235
"17954",436,218,865,2.3507549708734
"17957",100,218,865,0.845521401784721
"17959",116,218,865,1.11142654657697
"17961",218,255,865,1.18682277345861
"17966",376,218,866,3.29705245960934
"17971",742,218,866,1.47980319198196
"17975",436,218,866,2.38253093161159
"17978",100,218,866,0.954214713351246
"17980",116,218,866,1.15772745049774
"17982",218,255,866,1.18902983209001
"17987",376,218,867,3.21075999374229
"17992",742,218,867,1.50022385106357
"17996",436,218,867,2.43323881331421
"17999",100,218,867,0.985003225883043
"18001",116,218,867,1.23415826219168
"18003",218,255,867,1.19304724168827
"18008",376,218,868,2.95906677425434
"18013",742,218,868,1.93958114212837
"18017",436,218,868,2.45049441810235
"18020",100,218,868,1.03292229693235
"18022",116,218,868,1.25987977130994
"18024",218,255,868,1.19355531602017
"18029",376,218,869,2.86071916195019
"18034",742,218,869,2.47762047344322
"18038",436,218,869,2.4706158468938
"18041",100,218,869,1.11934083450931
"18043",116,218,869,1.25066114002795
"18045",218,255,869,1.18708495639529
"18050",376,218,870,2.95248242146317
