"","Cap1","Cap2","Time","Distance"
"47668",436,116,2277,2.67074650479973
"47669",436,449,2277,0.795096864224731
"47670",436,255,2277,1.92650815399261
"47686",436,3008,2278,4.172924518248
"47687",436,3310,2278,2.05336339546219
"47688",436,100,2278,1.73771591228256
"47689",436,116,2278,2.66456642322912
"47690",436,449,2278,0.795829293378925
"47691",436,255,2278,1.87785125358746
"47707",436,3008,2279,4.08191571065108
"47708",436,3310,2279,1.38967392921541
"47709",436,100,2279,1.56945996705873
"47710",436,116,2279,2.58767109658473
"47711",436,449,2279,0.634127597018139
"47712",436,255,2279,1.67763114342814
"47728",436,3008,2280,4.13320668595948
"47729",436,3310,2280,0.962994270803311
"47730",436,100,2280,1.51999146925238
"47731",436,116,2280,2.66991367015864
"47732",436,449,2280,0.528894780934734
"47733",436,255,2280,1.57095831943435
"47749",436,3008,2281,4.05013645872908
"47750",436,3310,2281,0.842935138074099
"47751",436,100,2281,1.37917773796563
"47752",436,116,2281,2.5900239918773
"47753",436,449,2281,0.46191007295793
"47754",436,255,2281,1.50074985530567
"47770",436,3008,2282,3.64061115120944
"47771",436,3310,2282,1.1572967516588
"47772",436,100,2282,0.928843801992563
"47773",436,116,2282,2.24571805314024
"47774",436,449,2282,0.175481425227857
"47775",436,255,2282,1.06423692423257
"47791",436,3008,2283,3.50351473067092
"47792",436,3310,2283,1.28297284281469
"47793",436,100,2283,0.770373210982833
"47794",436,116,2283,2.13999247926249
"47795",436,449,2283,0.265884629679867
"47796",436,255,2283,0.901131030760788
"47812",436,3008,2284,3.45045976422055
"47813",436,3310,2284,1.27660020813096
"47814",436,100,2284,0.715730225224561
"47815",436,116,2284,2.09693936855599
"47816",436,449,2284,0.318858853726849
"47817",436,255,2284,0.859048661892911
"47833",436,3008,2285,3.39629913049309
"47834",436,3310,2285,1.29719839554326
"47835",436,100,2285,0.660341869185954
"47836",436,116,2285,2.05360960537781
"47837",436,449,2285,0.374582402549826
"47838",436,255,2285,0.817954213021732
"47854",436,3008,2286,3.33863395699908
"47855",436,3310,2286,1.3034788080364
"47856",436,100,2286,0.635405454257359
"47857",436,116,2286,1.9894627825119
"47858",436,449,2286,0.400226518611648
"47859",436,255,2286,0.800034680435792
"47875",436,3008,2287,3.33276659526696
"47876",436,3310,2287,1.29937047088196
"47877",436,100,2287,0.635405454257359
"47878",436,116,2287,1.9894627825119
"47879",436,449,2287,0.400226518611648
"47880",436,255,2287,0.800034680435792
